text,label
"This movie was absolutely amazing, I loved every minute of it",positive
"Worst film I have ever seen, total waste of time",negative
"Great acting and a beautiful story, highly recommend",positive
"The plot made no sense and the acting was terrible",negative
"I really enjoyed this, it made me laugh so much",positive
"Boring from start to finish, I almost fell asleep",negative
"A masterpiece, one of the best movies of the year",positive
"Awful, I want my two hours back",negative
"The cinematography was stunning and the music was perfect",positive
"Terrible script, terrible direction, terrible everything",negative
"This film touched my heart, beautifully done",positive
"I couldn't even finish watching it, so bad",negative
"An absolute joy to watch, brilliant performances",positive
"Disappointing sequel, nothing like the original",negative
"One of my favorite movies now, truly inspiring",positive
"The dialogue felt fake and forced throughout",negative
"Loved the characters and the emotional depth",positive
"A complete mess, poorly edited and confusing",negative
"Fantastic direction and a gripping storyline",positive
"I regret spending money on this movie",negative
"Wonderful film, left the theater smiling",positive
"Painfully slow and boring, would not recommend",negative
"The soundtrack alone makes this movie worth watching",positive
"Poor acting ruined what could have been a good story",negative
"A heartwarming story that stays with you",positive
"Cheap special effects and a weak plot",negative
"Brilliant writing, kept me hooked till the end",positive
"I fell asleep twice during this movie",negative
"Such a delightful and fun experience",positive
"The worst sequel in the franchise, avoid it",negative
